noun	suffix	v_trans	v_dyn	v_dur	v_tel	v_post_phase	v_rol_subj	v_rol_obj	v_rol_obq	n_onto	n_relation	n_dyn	n_dur	n_tel	n_post_phase	n_rol_arg1	n_rol_arg2	n_rol_arg3
affolage1	age	y	y	y	n	n	sti	exp	na	evt	tsp	y	y	n	n	exp	sti	na
affolage2	age	n	y	y	n	n	exp	na	na	sta	res	n	y	n	n	exp	na	na
aidage1	age	y	y	y	n	n	cau	ben	na	evt	tsp	y	y	n	n	ben	cau	na
aidage2	age	y	y	y	n	n	cau	ben	na	dom	tsp	y	y	n	n	ben	na	na
ajoutage1	age	y	y	n	y	y	cau	thm	des	evt	tsp	y	y	y	n	thm	des	cau
ajoutage2	age	y	y	n	y	y	cau	thm	des	art*cog	res	na	na	na	na	na	na	na
alignage1	age	y	y	n	y	y	cau	thm	loc	evt	tsp	y	y	y	n	thm	loc	cau
alignage2	age	n	y	n	y	y	thm	na	loc	ppt	res	n	na	na	na	na	na	na
amadouage	age	y	y	y	v	y	agt	pat	na	evt*sta	tsp	y	y	v	y	pat	agt	na
aquarellage1	age	y	y	y	y	n	agt	pat	na	evt	tsp	y	y	y	n	pat	agt	na
aquarellage2	age	y	y	y	y	n	agt	pat	na	art	res	na	na	na	na	na	na	na
aquarellage3	age	y	y	y	y	n	agt	pat	na	dom	tsp	y	y	n	n	pat	na	na
arnaquage1	age	y	y	n	y	n	agt	ben	na	evt	tsp	y	n	y	n	ben	agt	na
arnaquage2	age	y	y	n	y	n	agt	ben	na	dom	tsp	y	y	n	n	ben	na	na
attifage1	age	y	y	y	y	y	cau	pat	ins	evt	tsp	y	y	y	n	pat	ins	cau
attifage2	age	y	y	y	y	y	cau	pat	ins	art	ins	na	na	na	na	na	na	na
attifage3	age	y	y	y	y	y	cau	pat	ins	ppt	res	n	na	na	na	na	na	na
boulage1	age	y	y	y	y	n	cau	pat	na	evt	tsp	y	y	y	n	pat	cau	na
boulage2	age	y	y	y	y	n	cau	pat	na	art	res	na	na	na	na	na	na	na
brancardage1	age	y	y	y	y	n	agt	thm	na	evt	tsp	y	y	y	n	thm	agt	na
brancardage2	age	y	y	y	y	n	agt	thm	na	dom	tsp	y	y	n	n	thm	na	na
brandissage	age	y	y	y	n	n	agt	thm	na	evt	tsp	y	y	n	n	thm	agt	na
bullage	age	n	y	y	n	n	agt	na	na	evt	tsp	y	y	n	n	agt	na	na
buvardage1	age	y	y	y	y	n	agt	thm	na	evt	tsp	y	y	y	n	thm	agt	na
buvardage2	age	y	y	y	y	n	agt	thm	na	nat	res	na	na	na	na	na	na	na
buvardage3	age	n	y	y	n	n	pat	na	na	evt	tsp	y	y	n	n	pat	na	na
chlorage1	age	y	y	y	v	y	cau	pat	na	evt*sta	tsp	y	y	v	y	pat	cau	na
chlorage2	age	y	y	y	v	y	cau	pat	na	art	ins	na	na	na	na	na	na	na
clashage1	age	y	y	y	n	n	agt	tpc	na	cog*evt	tsp	y	y	n	n	tpc	agt	na
clashage2	age	n	y	n	y	n	thm	na	thm	evt	tsp	y	n	y	n	thm	thm	na
cloîtrage1	age	y	y	n	y	y	cau	thm	loc	evt*sta	tsp	y	n	y	y	thm	loc	cau
cloîtrage2	age	y	y	n	y	y	cau	thm	loc	nat	loc	na	na	na	na	na	na	na
cobayage	age	y	y	y	n	n	agt	tpc	na	evt	tsp	y	y	n	n	tpc	agt	na
comatage1	age	n	y	y	n	n	exp	na	na	evt	tsp	y	y	n	n	exp	na	na
comatage2	age	n	y	y	n	n	exp	na	na	sta	res	n	y	n	n	exp	na	na
corbeillage	age	y	y	n	y	y	agt	thm	na	evt	tsp	y	n	y	n	thm	agt	na
dandinage	age	n	y	y	n	n	agt	na	na	evt	tsp	y	y	n	n	agt	na	na
décernage	age	y	y	n	y	n	agt	thm	ben	evt	tsp	y	y	y	n	thm	ben	agt
déchantage	age	n	y	n	y	y	exp	na	na	evt*sta	tsp	y	y	v	y	exp	na	na
défenestrage	age	y	y	n	y	n	agt	thm	na	evt	tsp	y	n	y	n	thm	agt	na
défleurage	age	y	y	y	y	n	agt	pat	na	evt	tsp	y	y	y	n	pat	agt	na
dégoûtage1	age	y	y	n	y	y	sti	exp	na	evt	tsp	y	n	y	n	exp	sti	na
dégoûtage2	age	y	y	y	n	n	sti	exp	na	sta	res	n	y	n	n	exp	na	na
demandage	age	y	y	n	y	n	agt	tpc	na	evt	tsp	y	n	y	n	tpc	agt	na
dénombrage	age	y	y	y	y	n	agt	tpc	na	cog*evt	tsp	y	y	y	n	tpc	agt	na
dépassage	age	y	y	n	y	y	thm	pth	na	evt	tsp	y	y	y	n	pth	thm	na
dépaysage1	age	y	y	n	y	y	cau	thm	na	evt	tsp	y	y	y	n	thm	cau	na
dépaysage2	age	y	y	y	v	y	sti	exp	na	evt*sta	tsp	y	y	v	y	exp	sti	na
déployage1	age	y	y	y	y	y	cau	pat	na	evt	tsp	y	y	y	n	pat	cau	na
déployage2	age	y	y	y	y	y	cau	pat	na	art	res	na	na	na	na	na	na	na
déposage1	age	y	y	n	y	y	cau	thm	des	evt	tsp	y	n	y	n	thm	des	cau
déposage2	age	y	y	n	y	y	cau	thm	des	dom	tsp	y	y	n	n	thm	des	na
desséchage1	age	y	y	y	v	y	cau	pat	na	evt*sta	tsp	y	y	v	y	pat	cau	na
desséchage2	age	n	y	y	v	y	pat	na	na	evt*sta	tsp	y	y	v	y	pat	na	na
dessinage1	age	y	y	y	y	n	agt	res	na	evt	tsp	y	y	y	n	res	agt	na
dessinage2	age	y	y	y	y	n	agt	res	na	dom	tsp	y	y	n	n	res	na	na
dessinage3	age	y	y	y	y	n	agt	res	na	art	res	na	na	na	na	na	na	na
détestage	age	y	n	y	n	n	exp	sti	na	sta	tsp	n	y	n	n	sti	na	na
dévoyage	age	y	y	y	v	y	cau	pat	na	evt*sta	tsp	y	y	v	y	pat	cau	na
diagnosticage1	age	y	y	y	y	n	agt	tpc	na	cog*evt	tsp	y	y	y	n	tpc	agt	na
diagnosticage2	age	y	y	y	y	n	agt	tpc	na	dom	tsp	y	y	n	n	tpc	na	na
doigtage1	age	y	y	y	n	n	agt	ben	na	evt	tsp	y	y	n	n	ben	agt	na
doigtage2	age	y	y	y	n	n	agt	ben	na	dom	tsp	y	y	n	n	ben	na	na
douillage	age	n	y	y	n	n	exp	na	na	sta	res	n	y	n	n	exp	na	na
duplicage1	age	y	y	y	y	n	agt	tpc	na	evt	tsp	y	y	y	n	tpc	agt	na
duplicage2	age	y	y	y	y	n	agt	tpc	na	art	res	na	na	na	na	na	na	na
embarquage	age	y	y	n	y	y	agt	thm	des	evt	tsp	y	y	y	n	thm	des	agt
encochage1	age	y	y	n	y	y	agt	thm	na	evt	tsp	y	y	y	n	thm	agt	na
encochage2	age	y	y	n	y	n	agt	pat	na	evt	tsp	y	n	y	n	pat	agt	na
encochage3	age	y	y	n	y	n	agt	pat	na	nat	res	na	na	na	na	na	na	na
enregistrage1	age	y	y	n	y	y	agt	tpc	na	evt	tsp	y	y	y	n	tpc	agt	na
enregistrage2	age	y	y	y	y	n	agt	tpc	na	dom	tsp	y	y	n	n	tpc	na	na
ensardinage	age	y	y	y	y	y	cau	thm	des	evt*sta	tsp	y	y	y	y	thm	des	cau
entichage	age	n	y	n	y	y	exp	na	sti	evt*sta	tsp	y	n	y	y	sti	exp	na
envoyage	age	y	y	n	y	n	cau	thm	des	evt	tsp	y	n	y	n	thm	des	cau
éraflage1	age	y	y	n	y	n	cau	pat	na	evt	tsp	y	n	y	n	pat	cau	na
éraflage2	age	y	y	n	y	n	cau	pat	na	nat	res	na	na	na	na	na	na	na
escargotage	age	n	y	y	n	n	cau	na	na	evt	tsp	y	y	n	n	cau	na	na
exterminage	age	y	y	y	y	n	agt	pat	na	evt	tsp	y	y	y	n	pat	agt	na
feuilletonnage	age	y	y	y	n	n	agt	tpc	na	cog*evt	tsp	y	y	n	n	tpc	agt	na
fibrage1	age	y	y	y	y	y	agt	pat	na	evt	tsp	y	y	y	n	pat	agt	na
fibrage2	age	y	y	y	y	n	agt	pat	na	evt	tsp	y	y	y	n	pat	agt	na
fibrage3	age	y	y	y	y	n	agt	pat	na	ppt	res	n	na	na	na	na	na	na
fulminage	age	n	y	y	n	n	agt	na	tpc	cog*evt	tsp	y	y	n	n	tpc	agt	na
fuyage1	age	y	y	y	n	n	agt	src	na	evt	tsp	y	y	n	n	src	agt	na
fuyage2	age	n	y	y	n	n	pat	na	na	evt	tsp	y	y	n	n	pat	na	na
googlage1	age	y	y	y	y	n	agt	tpc	na	evt	tsp	y	y	y	n	tpc	agt	na
googlage2	age	y	y	y	y	n	agt	tpc	na	dom	tsp	y	y	n	n	tpc	na	na
grandissage	age	n	y	y	v	n	pat	na	na	evt*sta	tsp	y	y	v	n	pat	na	na
ignifugeage1	age	y	y	y	v	y	agt	pat	na	evt*sta	tsp	y	y	v	y	pat	agt	na
ignifugeage2	age	y	y	y	v	y	agt	pat	na	art	ins	na	na	na	na	na	na	na
implorage	age	y	y	y	n	n	agt	ben	na	evt	tsp	y	y	n	n	ben	agt	na
imposage1	age	y	y	y	n	n	agt	tpc	ben	evt	tsp	y	y	n	n	tpc	ben	agt
imposage2	age	y	y	y	n	n	agt	ben	na	evt	tsp	y	y	n	n	ben	agt	na
interviewage1	age	y	y	y	n	n	agt	tpc	na	cog*evt	tsp	y	y	n	n	tpc	agt	na
interviewage2	age	y	y	y	n	n	agt	tpc	na	dom	tsp	y	y	n	n	tpc	na	na
intubage1	age	y	y	n	y	y	agt	pat	na	evt*sta	tsp	y	n	y	y	pat	agt	na
intubage2	age	y	y	n	y	y	agt	pat	na	art	ins	na	na	na	na	na	na	na
inventage	age	y	y	n	y	n	cau	res	na	evt	tsp	y	n	y	n	res	cau	na
macérage1	age	y	y	y	n	n	cau	pat	na	evt	tsp	y	y	n	n	pat	cau	na
macérage2	age	n	y	y	n	n	pat	na	loc	evt	tsp	y	y	n	n	pat	loc	na
maintenage	age	y	y	y	n	n	agt	thm	loc	evt	tsp	y	y	n	n	thm	loc	agt
maquage1	age	y	y	y	n	n	agt	ins	na	dom	tsp	y	y	n	n	ins	na	na
maquage2	age	n	y	n	y	y	agt	na	agt	evt*sta	tsp	y	n	y	y	agt	agt	na
marketage1	age	y	y	y	n	n	agt	tpc	na	evt	tsp	y	y	n	n	tpc	agt	na
marketage2	age	y	y	y	n	n	agt	tpc	na	dom	tsp	y	y	n	n	tpc	na	na
marmonnage	age	y	y	y	n	n	agt	tpc	na	cog*evt	tsp	y	y	n	n	tpc	agt	na
mettage	age	y	y	y	y	y	cau	thm	des	evt	tsp	y	y	y	n	thm	des	cau
militage	age	n	y	y	n	n	agt	na	na	dom	tsp	y	y	n	n	agt	na	na
mimage1	age	y	y	y	n	n	agt	tpc	na	evt	tsp	y	y	n	n	tpc	agt	na
mimage2	age	y	y	y	n	n	agt	tpc	na	dom	tsp	y	y	n	n	tpc	na	na
napalmage1	age	y	y	y	n	n	agt	pat	na	evt	tsp	y	y	n	n	pat	agt	na
napalmage2	age	y	y	y	n	n	agt	pat	ins	evt	tsp	y	y	n	n	pat	ins	agt
napalmage3	age	y	y	y	n	n	agt	pat	ins	art	res	na	na	na	na	na	na	na
oubliage	age	y	y	n	y	y	cau	tpc	na	evt	tsp	y	n	y	n	tpc	cau	na
panage1	age	y	y	y	y	n	agt	pat	na	evt	tsp	y	y	y	n	pat	agt	na
panage2	age	y	y	y	y	n	agt	pat	na	art	res	na	na	na	na	na	na	na
pancartage	age	y	y	y	y	y	agt	tpc	na	evt	tsp	y	y	y	n	tpc	agt	na
paraphage	age	y	y	n	y	n	agt	pat	na	evt	tsp	y	n	y	n	pat	agt	na
parenthésage	age	y	y	n	y	y	agt	pat	na	evt	tsp	y	n	y	n	pat	agt	na
pioupioutage	age	n	y	y	n	n	cau	na	na	evt	tsp	y	y	n	n	cau	na	na
pistolage1	age	y	y	y	y	n	agt	thm	des	evt	tsp	y	y	y	n	thm	des	agt
pistolage2	age	y	y	y	y	n	agt	thm	des	dom	tsp	y	y	n	n	thm	des	na
pistolage3	age	y	y	y	y	n	agt	thm	des	ppt	res	n	na	na	na	na	na	na
pistolage4	age	y	y	y	y	n	agt	thm	des	art	ins	na	na	na	na	na	na	na
pixelisage1	age	y	y	y	v	y	cau	pat	na	evt*sta	tsp	y	y	v	y	pat	cau	na
